Country,Year,1st_pillar_Institutions,2nd_pillar_Infrastructure,3rd_pillar_Macroeconomic_environment,4th_pillar_Health_and_primary_education,5th_pillar_Higher_education_and_training,6th_pillar_Goods_market_efficiency,7th_pillar_Labor_market_efficiency,8th_pillar_Financial_market_development,9th_pillar_Technological_readiness,10th_pillar_Market_size,11th_pillar_Business_sophistication_,12th_pillar_Innovation,Global_Competitiveness_Index,Population,GDP,Income group,Region,Forum classification
Argentina,2016,3.040719172,3.659923165,2.949968479,5.910136855,4.958731525,3.261856829,3.298895974,2.983321765,4.075774831,4.925852678,3.678691274,3.238983698,3.811176413,44669494,15816,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
Argentina,2017,3.27737284,3.852429792,3.376551693,5.888766717,4.995610307,3.435741006,3.292143497,3.103032057,4.321091308,4.878407505,3.822479499,3.302254357,3.950943589,44271041,16148,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
Armenia,2007,3.400168558,2.847623379,4.983789636,4.959184996,3.350893311,3.713480055,4.540965797,3.591552342,2.553450034,2.419143333,3.255258669,2.86974047,3.758293248,2988117,6877,Lower middle income,Commonwealth of Independent States,Eurasia
Armenia,2008,3.497036183,2.873428261,4.73237489,5.055589843,3.426049528,3.747928797,4.565695229,3.681746514,2.556568403,2.475119136,3.297979168,2.767396526,3.725373473,2975029,7383,Lower middle income,Commonwealth of Independent States,Eurasia
Armenia,2009,3.492749885,3.246500258,4.779970615,5.000032313,3.463926391,3.653166557,4.61258419,3.793945893,2.857044686,2.692671047,3.347292102,2.710697392,3.710936346,2966108,6358,Lower middle income,Commonwealth of Independent States,Eurasia
Armenia,2010,3.500989804,3.45719291,4.229865177,5.369077133,3.660653672,3.715928159,4.611439445,3.597390596,2.956192678,2.502018047,3.325018668,2.63219425,3.758017258,2963496,6508,Lower middle income,Commonwealth of Independent States,Eurasia
Armenia,2011,3.649245257,3.752114028,4.187861323,5.367913226,4.007102194,3.882140832,4.706152501,3.760149185,3.425064597,2.571489222,3.432512552,2.739040833,3.887752279,2967984,6812,Lower middle income,Commonwealth of Independent States,Eurasia
Armenia,2012,3.898800311,3.706456924,4.502174386,5.530574486,4.219572391,4.217921126,4.722400825,3.970415458,3.39665753,2.620772806,3.696310623,2.891910611,4.022190017,2978339,7291,Lower middle income,Commonwealth of Independent States,Eurasia
Armenia,2013,3.976488524,3.812293227,4.876375411,5.461421515,4.175385421,4.33625353,4.488077271,3.906052576,3.74087093,2.727108675,3.815693398,2.9924935,4.102263363,2992192,7527,Lower middle income,Commonwealth of Independent States,Eurasia
Armenia,2014,3.82285149,3.833668833,4.622902268,5.328280681,4.197081928,4.365602062,4.198569346,3.710767279,3.72174307,2.753022501,3.732163013,2.954667369,4.007344028,3006154,7763,Lower middle income,Commonwealth of Independent States,Eurasia
Armenia,2015,3.77976578,3.718874279,4.71480302,5.351114439,4.264139122,4.461346024,4.303387095,3.530605628,3.666807867,2.813094825,3.650586506,3.015297268,4.009698321,3017712,7763,Lower middle income,Commonwealth of Independent States,Eurasia
Armenia,2016,3.986070825,3.766002969,4.314891833,5.409183046,4.381709816,4.586433074,4.397012226,3.683398109,4.0117918,2.676364726,3.752672983,3.198949058,4.073255115,3146176,7162,Lower middle income,Commonwealth of Independent States,Eurasia
Armenia,2017,4.057974392,3.852805921,4.134756683,5.994815446,4.420720771,4.699170214,4.40133228,3.877762779,4.086212981,2.78776599,3.986206506,3.308108367,4.191498072,2930450,7166,Lower middle income,Commonwealth of Independent States,Eurasia
Australia,2007,5.662953761,5.525058284,5.39173397,6.255321261,5.461345403,5.321346764,5.00489635,5.86893835,5.202737063,4.898523616,4.809784145,4.409833975,5.171178377,20975949,40643,High income,Advanced economies,East Asia and Pacific
Australia,2008,5.720910106,5.334669231,5.656705867,6.27437412,5.437404672,5.294733436,5.117210724,5.7634172,5.206939961,5.019505474,4.859299038,4.455988269,5.199893685,21370348,41312,High income,Advanced economies,East Asia and Pacific
Australia,2009,5.595149292,5.191932869,5.55642957,6.181618095,5.334408273,5.196163459,5.196375936,5.507393472,5.391313407,5.102878502,4.788005603,4.434158905,5.153625588,21770690,41170,High income,Advanced economies,East Asia and Pacific
Australia,2010,5.489599137,5.435197997,5.549282505,6.489540396,5.527340932,5.021515442,5.129109983,5.45157767,4.972049539,5.117600874,4.671391802,4.407703747,5.111644871,22162863,41330,High income,Advanced economies,East Asia and Pacific
Australia,2011,5.390774411,5.432850962,5.624568206,6.513907933,5.619446631,4.836478351,5.037241924,5.375873336,5.110459879,5.099487359,4.672677817,4.475482924,5.11024481,22542371,41706,High income,Advanced economies,East Asia and Pacific
Australia,2012,5.272721176,5.696374792,5.565328406,6.455913919,5.642971167,4.872011205,4.603312187,5.350073971,5.606123949,5.103470373,4.606740214,4.510253599,5.115229558,22911375,42522,High income,Advanced economies,East Asia and Pacific
Australia,2013,5.040858702,5.59714882,5.751740307,6.355374541,5.510036626,4.719560468,4.453076136,5.406826103,5.817452958,5.145869115,4.661295085,4.454404083,5.092346111,23270465,42840,High income,Advanced economies,East Asia and Pacific
Australia,2014,5.142326973,5.602745038,5.614697143,6.461495026,5.674432814,4.758861434,4.300066768,5.414401938,5.642813772,5.140228733,4.697070748,4.405821522,5.084064171,23622353,43219,High income,Advanced economies,East Asia and Pacific
Australia,2015,5.314982202,5.662272428,5.620594286,6.543583448,5.84380008,4.790243131,4.511546077,5.358213238,5.647057106,5.134894706,4.695979015,4.533884,5.148697265,23968973,44056,High income,Advanced economies,East Asia and Pacific
Australia,2016,5.323229724,5.646263738,5.692227792,6.562329951,5.911171512,4.824902458,4.686968048,5.424447194,5.662524404,5.102926152,4.744343287,4.547373653,5.189371749,24582780,39700,High income,Advanced economies,East Asia and Pacific
Australia,2017,5.352487618,5.266563918,5.674250081,6.523236045,5.877281229,4.876430341,4.684871248,5.452766156,5.718354213,5.133036963,4.854282429,4.515425338,5.191511394,24598933,40570,High income,Advanced economies,East Asia and Pacific
Austria,2007,5.718495589,5.689617772,5.322629839,6.287341657,5.402048609,5.407219344,4.523647064,5.128131974,5.171237003,4.467444304,5.688888876,4.756457761,5.22601693,8301290,43418,High income,Advanced economies,Europe and North America
Austria,2008,5.724991719,5.864626378,5.359761541,6.279464962,5.277374682,5.381032924,4.647319285,5.008827179,5.335389267,4.555025497,5.646815695,4.682248618,5.227882613,8331465,43952,High income,Advanced economies,Europe and North America
Austria,2009,5.554560934,5.89368686,5.22292457,6.13920393,5.185416615,5.137551141,4.712516235,4.845909091,5.392927696,4.623387471,5.540645121,4.455527454,5.131420388,8361362,42171,High income,Advanced economies,Europe and North America
Austria,2010,5.418795674,5.558804625,5.29855822,6.412376355,5.379992141,5.000954922,4.753955742,4.740594402,5.090005673,4.587308669,5.463350748,4.478372012,5.088419454,8391986,42861,High income,Advanced economies,Europe and North America
Austria,2011,5.242243981,5.641884402,5.388089861,6.321540173,5.380100232,4.891352601,4.761586347,4.643905035,5.402755414,4.579302022,5.459084987,4.788613374,5.138426146,8423559,44029,High income,Advanced economies,Europe and North America
Austria,2012,5.044829036,5.804998026,5.347452484,6.318604505,5.478158933,4.909697091,4.692061481,4.654221188,5.704658002,4.618402755,5.520470126,5.073915471,5.219718663,8455477,44216,High income,Advanced economies,Europe and North America
Austria,2013,5.073183498,5.720824117,5.372662786,6.369517098,5.568352748,4.882025492,4.563884774,4.561545337,5.587428345,4.628330879,5.45820314,4.818364708,5.150925183,8486962,44059,High income,Advanced economies,Europe and North America
Austria,2014,5.090872036,5.797199245,5.505941714,6.435265477,5.561693776,4.961751349,4.45109336,4.45206138,5.736632348,4.61138594,5.406297763,4.816509034,5.156103122,8516916,43906,High income,Advanced economies,Europe and North America
Austria,2015,5.187206294,5.708467442,5.132887038,6.40733615,5.582001303,4.889117043,4.471815871,4.212617903,5.620215797,4.592613244,5.426085473,4.902790076,5.118491275,8544586,44401,High income,Advanced economies,Europe and North America
Austria,2016,5.225457009,5.767189475,5.453214286,6.421024188,5.76390982,4.897588564,4.526433078,4.544742486,5.722906955,4.533224086,5.498870747,5.026413065,5.221203902,8828230,41057,High income,Advanced economies,Europe and North America
Austria,2017,5.151369963,5.725296167,5.523210851,6.401890458,5.676971095,4.893204742,4.48733278,4.577125772,5.97078395,4.588805302,5.576902465,5.025600305,5.246649091,8809212,41798,High income,Advanced economies,Europe and North America
Azerbaijan,2007,3.639859364,3.576252954,5.687353959,4.727898182,3.512833761,3.81696847,4.475050701,3.881489412,2.92214209,3.294947267,3.836070927,3.359606375,4.066182779,8763359,13243,Upper middle income,Commonwealth of Independent States,Eurasia
Azerbaijan,2008,4.049231549,3.695776762,5.34738573,4.723205674,3.755441706,3.957892525,4.697231694,3.89201707,3.229170915,3.366146457,3.910396152,3.530969656,4.10181137,8868713,14365,Upper middle income,Commonwealth of Independent States,Eurasia
Azerbaijan,2009,4.147902107,4.030668718,5.302859468,5.042415169,3.883088562,4.162775655,5.074982977,4.229017654,3.414058677,3.390799034,3.902925457,3.525824826,4.300091506,8980488,15394,Upper middle income,Commonwealth of Independent States,Eurasia
Azerbaijan,2010,3.858898171,3.686848755,5.618694896,5.497015817,3.956011943,3.91718191,4.817550907,4.124736802,3.553245857,3.461227739,3.836956074,3.164912618,4.288068344,9099893,15950,Upper middle income,Commonwealth of Independent States,Eurasia
Azerbaijan,2011,3.843953986,3.868126243,5.886128655,5.116105392,4.01314205,4.117356915,4.952600107,3.761246144,3.603908931,3.504131281,3.812253879,3.201177364,4.313757132,9227512,15754,Upper middle income,Commonwealth of Independent States,Eurasia
Azerbaijan,2012,3.980939008,3.944609172,6.048898246,5.080908158,3.911915314,4.308037315,4.795968035,3.729928001,4.043020993,3.512953493,3.914871508,3.447652359,4.410829867,9361477,15888,Upper middle income,Commonwealth of Independent States,Eurasia
Azerbaijan,2013,4.0633367,4.058261799,6.4156,5.070159575,3.999969303,4.268276305,4.721536586,3.800313162,4.169064733,3.603577676,3.971436957,3.450940763,4.513738201,9497496,16593,Upper middle income,Commonwealth of Independent States,Eurasia
Azerbaijan,2014,3.959031974,4.119357483,6.413656338,5.238374727,3.899502771,4.307130493,4.587676178,3.766247209,4.255380417,3.657680375,3.856079076,3.329330566,4.530560572,9629779,16710,Upper middle income,Commonwealth of Independent States,Eurasia
Azerbaijan,2015,3.944031974,4.146040751,6.354025806,5.216539732,3.899502771,4.312739385,4.574515566,3.332913876,4.260362855,3.89564385,3.856079076,3.329694447,4.504303915,9753968,16986,Upper middle income,Commonwealth of Independent States,Eurasia
Azerbaijan,2016,4.232074587,4.295855722,5.243972555,5.654106614,4.159855402,4.490735446,4.76630146,3.5483595,4.516614688,3.887753078,4.022653469,3.630045636,4.554671203,9931856,15646,Upper middle income,Commonwealth of Independent States,Eurasia
Azerbaijan,2017,4.649244925,4.540325631,4.795534494,5.717995615,4.462963628,4.796703501,5.006973332,3.843059087,4.554328087,3.973176338,4.439324228,3.996633181,4.690255791,9862429,16008,Upper middle income,Commonwealth of Independent States,Eurasia
Bahrain,2007,4.670321216,4.443981431,5.851180128,5.756754846,4.079974967,4.709126299,4.274970285,5.649615914,4.038548264,2.488061445,4.251810166,2.811771268,4.421329667,1026568,43251,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Bahrain,2008,4.887364219,4.771898126,5.778914807,5.818029375,4.222674602,4.774784641,4.366974612,5.504520939,4.287156836,2.77987828,4.487575455,3.041795947,4.567022536,1115777,42507,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Bahrain,2009,4.883781234,4.963607052,5.974818937,5.828386437,4.372573042,4.956183055,4.712154311,4.777630208,4.56754005,2.94806298,4.151761851,3.223793301,4.541910364,1196774,40825,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Bahrain,2010,5.015349607,5.078771561,5.65078964,6.172595837,4.635553116,5.134193808,4.775364628,4.898239954,4.88055135,2.939383635,4.140163277,3.208768919,4.543871334,1261319,40553,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Bahrain,2011,5.291205422,5.081692103,5.148167487,6.169544105,4.999721551,5.239459278,4.871721929,5.122059947,4.480181172,2.825133533,4.512614697,3.200505289,4.536354905,1306014,40083,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Bahrain,2012,5.134174666,5.187739331,5.500967802,6.06586662,4.931511963,5.097300324,4.888859169,4.988331877,4.7158429,2.860332591,4.339671539,3.134582844,4.626170305,1333577,40732,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Bahrain,2013,4.766160602,5.18000486,5.897852088,6.002031576,4.520044316,4.961074484,4.869517811,4.752628017,4.946696934,2.933253109,4.249913338,3.172791821,4.454309453,1349427,42444,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Bahrain,2014,4.701346844,5.187309526,5.186919996,6.16284371,4.657108652,4.982690587,4.673527987,4.653056673,5.014346479,3.077104568,4.349779295,3.317899115,4.475510816,1361930,43963,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Bahrain,2015,4.918851673,5.104660973,4.597137187,6.202013117,4.82383024,5.039128335,4.729756965,4.421008392,5.291112258,3.2709647,4.432596233,3.410039192,4.515511869,1377237,44138,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Bahrain,2016,5.036459744,5.009099322,3.876773608,6.244339763,4.898403579,4.983415911,4.551514032,4.304829957,5.154228291,3.228084208,4.42083951,3.605126999,4.472268263,1419387,41006,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Bahrain,2017,5.040209784,5.06712115,3.976737601,6.224029874,4.986424873,4.981315867,4.55151404,4.304830019,5.568164491,3.307409875,4.494474035,3.604252317,4.538518804,1492584,40626,High income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Bangladesh,2007,2.868677202,2.186064444,4.620310384,4.710158005,2.473714894,3.83753711,4.213201381,4.087717523,2.251021628,4.408551853,3.413942812,2.558409445,3.547942068,146592687,2158,Lower middle income,Emerging and Developing Asia,South Asia
Bangladesh,2008,2.976995394,2.212066966,4.45730638,4.625589755,2.511335508,3.825109384,4.010587875,4.054883651,2.339428824,4.142507693,3.455920505,2.508632201,3.508132347,148252473,2265,Lower middle income,Emerging and Developing Asia,South Asia
Bangladesh,2009,3.089236292,2.390462273,4.445613487,4.494293635,2.565529124,3.819578814,3.893393799,4.175244614,2.449622822,4.316957181,3.473941777,2.516334973,3.550550143,149905836,2355,Lower middle income,Emerging and Developing Asia,South Asia
Bangladesh,2010,3.241956256,2.145545828,4.486923987,4.96224204,2.774071621,3.833156718,3.978673435,4.178610842,2.654549971,4.322604483,3.416390866,2.611839467,3.644469887,151616777,2459,Lower middle income,Emerging and Developing Asia,South Asia
Bangladesh,2011,3.307618554,2.237080765,4.700546512,5.012414481,2.809250941,4.085398433,4.015485944,4.068393159,2.816688976,4.321233281,3.514248976,2.570586659,3.73089623,153405612,2589,Lower middle income,Emerging and Developing Asia,South Asia
Bangladesh,2012,3.203233856,2.220381131,4.243367252,5.204079813,2.875163713,4.095173058,3.905548112,3.742009107,2.74419251,4.361165178,3.500606984,2.467455705,3.647050556,155257387,2725,Lower middle income,Emerging and Developing Asia,South Asia
Bangladesh,2013,3.076030844,2.370839938,4.580922815,5.300227617,2.830530286,4.099066464,3.799382177,3.68044701,2.694189623,4.442061775,3.507687493,2.544363388,3.707335632,157157394,2853,Lower middle income,Emerging and Developing Asia,South Asia
Bangladesh,2014,2.959892374,2.445619339,4.685763031,5.288260397,2.862593797,4.203990278,3.670330699,3.772517462,2.657623375,4.459528584,3.453260091,2.583936599,3.719410933,159077513,2991,Lower middle income,Emerging and Developing Asia,South Asia
Bangladesh,2015,2.941069083,2.562536273,4.97863721,5.237292495,2.862866006,4.065645337,3.686401961,3.567713947,2.62046994,4.682661224,3.426129377,2.654630995,3.763285176,160995642,3161,Lower middle income,Emerging and Developing Asia,South Asia
Bangladesh,2016,3.147406615,2.768914738,4.791555736,5.157159154,3.040843011,4.080272376,3.577034395,3.544840026,2.694853285,4.649385832,3.522680846,2.795549978,3.796966228,164259119,2955,Lower middle income,Emerging and Developing Asia,South Asia
Bangladesh,2017,3.389776577,2.918401553,4.902635151,5.220133892,3.101780002,4.114561386,3.600592099,3.601511065,2.763865227,4.719389669,3.704197118,2.847685224,3.906038269,164669751,3023,Lower middle income,Emerging and Developing Asia,South Asia
Barbados,2007,5.052149307,4.773493655,4.297236827,6.346865006,4.648357978,4.12118013,4.575885072,4.777455077,4.197699716,1.844704842,4.099691536,3.32040095,4.320771881,276154,16099,High income,Latin America and the Caribbean,Latin America and the Caribbean
Barbados,2008,5.19150042,5.212655785,4.205512502,6.322406394,4.76267654,4.159588581,4.533421993,4.804725223,4.805396058,1.879792144,4.268003768,3.408725135,4.395272148,277315,16075,High income,Latin America and the Caribbean,Latin America and the Caribbean
Barbados,2009,5.176291676,5.369504307,3.796497682,6.284526345,4.911370496,4.124981065,4.580680396,4.665578214,4.441095666,1.915022251,4.200818329,3.428505306,4.351231181,278466,15334,High income,Latin America and the Caribbean,Latin America and the Caribbean
Barbados,2010,5.19911324,5.370797186,4.302190651,6.478400155,4.970345377,4.266590229,4.596342622,4.612256723,4.975403827,1.912193215,4.067856073,3.31894863,4.450936653,279566,15297,High income,Latin America and the Caribbean,Latin America and the Caribbean
Barbados,2011,5.285590797,5.490712523,3.880609127,6.35184092,5.083765199,4.312306463,4.687946588,4.700150747,4.932124962,1.938875092,4.2876565,3.424526107,4.438508741,280602,15336,High income,Latin America and the Caribbean,Latin America and the Caribbean
Barbados,2012,5.063936557,5.581058717,3.315460188,6.405076988,5.378441014,4.287973245,4.754668884,4.657904761,5.140894134,1.972737494,4.39000499,3.559978634,4.417265399,281580,15261,High income,Latin America and the Caribbean,Latin America and the Caribbean
Barbados,2013,4.796647179,5.517405833,3.888175579,6.359683472,5.290067411,4.248613441,4.794698165,4.707668447,5.260976063,2.058728511,4.303232479,3.51239241,4.423310428,282503,12867,High income,Latin America and the Caribbean,Latin America and the Caribbean
